X,Y
-153010.53704826054,-73383.50373149144
-153104.8732520556,-73636.20745489374
-150971.8134493934,-73624.4981364364
-153088.77859319287,-73500.69054600471
-153068.93042177052,-73506.54073363837
-151179.00138953875,-74866.10799145375
892173.7485220996,88177.54737327398
-151010.78825455217,-73447.75901503876
892203.8266610795,88042.04088741525
892220.2885575147,88063.34407931403
892205.2726300884,88040.08440192089
892204.0752756282,88041.24261779163
892192.3057719109,88088.01397392734
-151163.94396913724,-74942.42046213821
892256.8712892941,88752.15875542788
891750.6463328339,89258.14455109896
892236.2098373168,88464.89989571304
6027.20000529299,525.6905775694278
-148963.37392951152,-71974.82709166865
-150719.07851362185,-73429.10465768437
