X,Y
-282965.785253691,-818455.8022157543
-282686.09194998606,-818686.2855027087
-282920.4380949172,-818672.0582058111
-282920.62948706414,-818672.3338960377
-283068.31662790984,-818800.3032724884
-282765.3945594065,-818547.1157610714
509549.5590262874,677975.2768102755
704760.7351951739,-20135.470095773726
509489.9007544654,677999.4244021027
2616.487987598755,752.4605384557807
263162.6990535408,-404479.48500035354
798292.2377695234,755286.0571446907
704473.2188697523,-19896.997246177078
704487.9933025088,-19897.431828084078
704770.3609391554,-20127.68573289496
