X,Y
-501819.61878519296,-421834.59375103324
-501817.2598934596,-421833.03465203085
-501793.3972547101,-421817.1407208562
-501821.73993284715,-421835.983343781
-501701.75636991154,-421755.51252814714
-501840.4935286882,-421839.7065394206
-501802.2430972153,-421816.6503200472
-501869.73856989836,-421856.9034237561
-501833.6093526889,-421836.03405346366
-501841.27847969823,-421840.2861588372
-501504.01065351797,-421632.41577521834
-501606.8704444774,-421697.69489060447
1716.6877614227833,-3470.702126923989
740998.6578516159,-505168.2602315355
741010.7364401739,-505176.45724378584
29056.424092166864,197978.127574964
