X,Y
74394.62195324322,334971.1276495541
74441.26225416374,334427.1176465579
74393.61641324432,334977.4214121846
74347.15603917715,335511.250733869
74396.27674549016,334978.5376312179
1106.9517599826117,-3457.1539212087605
74444.41034886781,334441.62073210895
262079.7982627604,-987083.4038135054
744998.5223628669,-767401.5729966769
-165607.23746136721,83371.42123275308
-130862.41699424772,883393.8650535186
-259728.46901269982,640510.0359803382
-461390.1709640181,-744940.2996295015
74344.48301145065,335539.105468644
-130864.62674606986,883408.7151449114
